key_id,goal_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
3466,G-3466,WC-2022,2022 FIFA Men's World Cup,M-2022-01,Qatar vs Ecuador,2022-11-20,group stage,Group A,T-25,Ecuador,ECU,0,1,P-75912,Valencia,Enner,13,T-25,Ecuador,ECU,16',16,0,first half,0,1
3467,G-3467,WC-2022,2022 FIFA Men's World Cup,M-2022-01,Qatar vs Ecuador,2022-11-20,group stage,Group A,T-25,Ecuador,ECU,0,1,P-75912,Valencia,Enner,13,T-25,Ecuador,ECU,31',31,0,first half,0,0
3468,G-3468,WC-2022,2022 FIFA Men's World Cup,M-2022-02,England vs Iran,2022-11-21,group stage,Group B,T-28,England,ENG,1,0,P-15674,Bellingham,Jude,22,T-28,England,ENG,35',35,0,first half,0,0
3469,G-3469,WC-2022,2022 FIFA Men's World Cup,M-2022-02,England vs Iran,2022-11-21,group stage,Group B,T-28,England,ENG,1,0,P-76842,Saka,Bukayo,17,T-28,England,ENG,43',43,0,first half,0,0
3470,G-3470,WC-2022,2022 FIFA Men's World Cup,M-2022-02,England vs Iran,2022-11-21,group stage,Group B,T-28,England,ENG,1,0,P-21553,Sterling,Raheem,10,T-28,England,ENG,45'+1',45,1,"first half, stoppage time",0,0
3471,G-3471,WC-2022,2022 FIFA Men's World Cup,M-2022-02,England vs Iran,2022-11-21,group stage,Group B,T-28,England,ENG,1,0,P-76842,Saka,Bukayo,17,T-28,England,ENG,62',62,0,second half,0,0
3472,G-3472,WC-2022,2022 FIFA Men's World Cup,M-2022-02,England vs Iran,2022-11-21,group stage,Group B,T-38,Iran,IRN,0,1,P-85860,Taremi,Mehdi,9,T-38,Iran,IRN,65',65,0,second half,0,0
3473,G-3473,WC-2022,2022 FIFA Men's World Cup,M-2022-02,England vs Iran,2022-11-21,group stage,Group B,T-28,England,ENG,1,0,P-59837,Rashford,Marcus,11,T-28,England,ENG,71',71,0,second half,0,0
3474,G-3474,WC-2022,2022 FIFA Men's World Cup,M-2022-02,England vs Iran,2022-11-21,group stage,Group B,T-28,England,ENG,1,0,P-21153,Grealish,Jack,7,T-28,England,ENG,90',90,0,second half,0,0
3475,G-3475,WC-2022,2022 FIFA Men's World Cup,M-2022-02,England vs Iran,2022-11-21,group stage,Group B,T-38,Iran,IRN,0,1,P-85860,Taremi,Mehdi,9,T-38,Iran,IRN,90'+13',90,13,"second half, stoppage time",0,1
3476,G-3476,WC-2022,2022 FIFA Men's World Cup,M-2022-03,Senegal vs Netherlands,2022-11-21,group stage,Group A,T-48,Netherlands,NLD,0,1,P-28911,Gakpo,Cody,8,T-48,Netherlands,NLD,84',84,0,second half,0,0
3477,G-3477,WC-2022,2022 FIFA Men's World Cup,M-2022-03,Senegal vs Netherlands,2022-11-21,group stage,Group A,T-48,Netherlands,NLD,0,1,P-42078,Klaassen,Davy,14,T-48,Netherlands,NLD,90'+9',90,9,"second half, stoppage time",0,0
3478,G-3478,WC-2022,2022 FIFA Men's World Cup,M-2022-04,United States vs Wales,2022-11-21,group stage,Group B,T-83,United States,USA,1,0,P-30252,Weah,Timothy,21,T-83,United States,USA,36',36,0,first half,0,0
3479,G-3479,WC-2022,2022 FIFA Men's World Cup,M-2022-04,United States vs Wales,2022-11-21,group stage,Group B,T-85,Wales,WAL,0,1,P-63927,Bale,Gareth,11,T-85,Wales,WAL,82',82,0,second half,0,1
3480,G-3480,WC-2022,2022 FIFA Men's World Cup,M-2022-05,Argentina vs Saudi Arabia,2022-11-22,group stage,Group C,T-03,Argentina,ARG,1,0,P-14758,Messi,Lionel,10,T-03,Argentina,ARG,10',10,0,first half,0,1
3481,G-3481,WC-2022,2022 FIFA Men's World Cup,M-2022-05,Argentina vs Saudi Arabia,2022-11-22,group stage,Group C,T-63,Saudi Arabia,SAU,0,1,P-37308,Al-Shehri,Saleh,11,T-63,Saudi Arabia,SAU,48',48,0,second half,0,0
3482,G-3482,WC-2022,2022 FIFA Men's World Cup,M-2022-05,Argentina vs Saudi Arabia,2022-11-22,group stage,Group C,T-63,Saudi Arabia,SAU,0,1,P-70583,Al-Dawsari,Salem,10,T-63,Saudi Arabia,SAU,53',53,0,second half,0,0
3483,G-3483,WC-2022,2022 FIFA Men's World Cup,M-2022-08,France vs Australia,2022-11-22,group stage,Group D,T-04,Australia,AUS,0,1,P-82010,Goodwin,Craig,23,T-04,Australia,AUS,9',9,0,first half,0,0
3484,G-3484,WC-2022,2022 FIFA Men's World Cup,M-2022-08,France vs Australia,2022-11-22,group stage,Group D,T-30,France,FRA,1,0,P-57401,Rabiot,Adrien,14,T-30,France,FRA,27',27,0,first half,0,0
3485,G-3485,WC-2022,2022 FIFA Men's World Cup,M-2022-08,France vs Australia,2022-11-22,group stage,Group D,T-30,France,FRA,1,0,P-89750,Giroud,Olivier,9,T-30,France,FRA,32',32,0,first half,0,0
3486,G-3486,WC-2022,2022 FIFA Men's World Cup,M-2022-08,France vs Australia,2022-11-22,group stage,Group D,T-30,France,FRA,1,0,P-64077,Mbappé,Kylian,10,T-30,France,FRA,68',68,0,second half,0,0
3487,G-3487,WC-2022,2022 FIFA Men's World Cup,M-2022-08,France vs Australia,2022-11-22,group stage,Group D,T-30,France,FRA,1,0,P-89750,Giroud,Olivier,9,T-30,France,FRA,71',71,0,second half,0,0
3488,G-3488,WC-2022,2022 FIFA Men's World Cup,M-2022-10,Germany vs Japan,2022-11-23,group stage,Group E,T-31,Germany,DEU,1,0,P-08896,Gündoğan,İlkay,21,T-31,Germany,DEU,33',33,0,first half,0,1
3489,G-3489,WC-2022,2022 FIFA Men's World Cup,M-2022-10,Germany vs Japan,2022-11-23,group stage,Group E,T-44,Japan,JPN,0,1,P-58907,Dōan,Ritsu,8,T-44,Japan,JPN,75',75,0,second half,0,0
3490,G-3490,WC-2022,2022 FIFA Men's World Cup,M-2022-10,Germany vs Japan,2022-11-23,group stage,Group E,T-44,Japan,JPN,0,1,P-46913,Asano,Takuma,18,T-44,Japan,JPN,83',83,0,second half,0,0
3491,G-3491,WC-2022,2022 FIFA Men's World Cup,M-2022-11,Spain vs Costa Rica,2022-11-23,group stage,Group E,T-73,Spain,ESP,1,0,P-40007,Olmo,Dani,21,T-73,Spain,ESP,11',11,0,first half,0,0
3492,G-3492,WC-2022,2022 FIFA Men's World Cup,M-2022-11,Spain vs Costa Rica,2022-11-23,group stage,Group E,T-73,Spain,ESP,1,0,P-09400,Asensio,Marco,10,T-73,Spain,ESP,21',21,0,first half,0,0
3493,G-3493,WC-2022,2022 FIFA Men's World Cup,M-2022-11,Spain vs Costa Rica,2022-11-23,group stage,Group E,T-73,Spain,ESP,1,0,P-31301,Torres,Ferran,11,T-73,Spain,ESP,31',31,0,first half,0,1
3494,G-3494,WC-2022,2022 FIFA Men's World Cup,M-2022-11,Spain vs Costa Rica,2022-11-23,group stage,Group E,T-73,Spain,ESP,1,0,P-31301,Torres,Ferran,11,T-73,Spain,ESP,54',54,0,second half,0,0
3495,G-3495,WC-2022,2022 FIFA Men's World Cup,M-2022-11,Spain vs Costa Rica,2022-11-23,group stage,Group E,T-73,Spain,ESP,1,0,P-88433,Gavi,not applicable,9,T-73,Spain,ESP,74',74,0,second half,0,0
3496,G-3496,WC-2022,2022 FIFA Men's World Cup,M-2022-11,Spain vs Costa Rica,2022-11-23,group stage,Group E,T-73,Spain,ESP,1,0,P-30405,Soler,Carlos,19,T-73,Spain,ESP,90',90,0,second half,0,0
3497,G-3497,WC-2022,2022 FIFA Men's World Cup,M-2022-11,Spain vs Costa Rica,2022-11-23,group stage,Group E,T-73,Spain,ESP,1,0,P-29274,Morata,Álvaro,7,T-73,Spain,ESP,90'+2',90,2,"second half, stoppage time",0,0
3498,G-3498,WC-2022,2022 FIFA Men's World Cup,M-2022-12,Belgium vs Canada,2022-11-23,group stage,Group F,T-06,Belgium,BEL,1,0,P-13975,Batshuayi,Michy,23,T-06,Belgium,BEL,44',44,0,first half,0,0
3499,G-3499,WC-2022,2022 FIFA Men's World Cup,M-2022-13,Switzerland vs Cameroon,2022-11-24,group stage,Group G,T-75,Switzerland,CHE,1,0,P-19075,Embolo,Breel,7,T-75,Switzerland,CHE,48',48,0,second half,0,0
3500,G-3500,WC-2022,2022 FIFA Men's World Cup,M-2022-15,Portugal vs Ghana,2022-11-24,group stage,Group H,T-58,Portugal,PRT,1,0,P-70442,Ronaldo,Cristiano,7,T-58,Portugal,PRT,65',65,0,second half,0,1
