group,image_team,image_player,name_norm,team_norm,image_count,folder_path
Group A,Ecuador,Alan Franco,alan franco,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Alan Franco
Group A,Ecuador,Alexander Domínguez,alexander dominguez,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Alexander Dom├¡nguez
Group A,Ecuador,Ayrton Preciado,ayrton preciado,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Ayrton Preciado
Group A,Ecuador,Carlos Gruezo,carlos gruezo,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Carlos Gruezo
Group A,Ecuador,Diego Palacios,diego palacios,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Diego Palacios
Group A,Ecuador,Djorkaeff Reasco,djorkaeff reasco,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Djorkaeff Reasco
Group A,Ecuador,Enner Valencia,enner valencia,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Enner Valencia (captain)
Group A,Ecuador,Félix Torres,felix torres,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_F├⌐lix Torres
Group A,Ecuador,Gonzalo Plata,gonzalo plata,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Gonzalo Plata
Group A,Ecuador,Hernán Galíndez,hernan galindez,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Hern├ín Gal├¡ndez
Group A,Ecuador,Jackson Porozo,jackson porozo,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Jackson Porozo
Group A,Ecuador,Jeremy Sarmiento,jeremy sarmiento,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Jeremy Sarmiento
Group A,Ecuador,José Cifuentes,jose cifuentes,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Jos├⌐ Cifuentes
Group A,Ecuador,Kevin Rodríguez,kevin rodriguez,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Kevin Rodr├¡guez
Group A,Ecuador,Michael Estrada,michael estrada,ecuador,50,data\raw\player-images\Images\Images\Group A\Ecuador Players\Images_Michael Estrada
