key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code,full_name,name_norm,team_norm,has_stats,image_count,folder_path,has_image
13013,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-39788,Armani,Franco,1,goal keeper,GK,Franco Armani,franco armani,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Franco Armani,True
13014,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-00652,Foyth,Juan,2,defender,DF,Juan Foyth,juan foyth,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Juan Foyth,True
13015,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-35173,Tagliafico,Nicolás,3,defender,DF,Nicolás Tagliafico,nicolas tagliafico,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Nicol├ís Tagliafico,True
13016,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-91431,Montiel,Gonzalo,4,defender,DF,Gonzalo Montiel,gonzalo montiel,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Gonzalo Montiel,True
13017,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-27582,Paredes,Leandro,5,midfielder,MF,Leandro Paredes,leandro paredes,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Leandro Paredes,True
13018,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-29298,Pezzella,Germán,6,defender,DF,Germán Pezzella,german pezzella,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Germ├ín Pezzella,True
13019,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-37314,De Paul,Rodrigo,7,midfielder,MF,Rodrigo De Paul,rodrigo de paul,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Rodrigo De Paul,True
13020,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-73712,Acuña,Marcos,8,midfielder,MF,Marcos Acuña,marcos acuna,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Marcos Acu├▒a,True
13021,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-19776,Álvarez,Julián,9,forward,FW,Julián Álvarez,julian alvarez,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Juli├ín ├ülvarez,True
13022,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-14758,Messi,Lionel,10,forward,FW,Lionel Messi,lionel messi,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Lionel Messi (captain),True
13023,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-42113,Di María,Ángel,11,forward,FW,Ángel Di María,angel di maria,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_├üngel Di Mar├¡a,True
13024,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-36188,Rulli,Gerónimo,12,goal keeper,GK,Gerónimo Rulli,geronimo rulli,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Ger├│nimo Rulli,True
13025,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-79650,Romero,Cristian,13,defender,DF,Cristian Romero,cristian romero,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Cristian Romero,True
13026,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-40147,Palacios,Exequiel,14,midfielder,MF,Exequiel Palacios,exequiel palacios,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Exequiel Palacios,True
13027,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-92353,Correa,Ángel,15,forward,FW,Ángel Correa,angel correa,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_├üngel Correa,True
13028,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-56659,Almada,Thiago,16,midfielder,MF,Thiago Almada,thiago almada,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Thiago Almada,True
13029,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-10231,Gómez,Papu,17,midfielder,MF,Papu Gómez,papu gomez,argentina,False,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Papu G├│mez,True
13030,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-03265,Rodríguez,Guido,18,midfielder,MF,Guido Rodríguez,guido rodriguez,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Guido Rodr├¡guez,True
13031,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-49114,Otamendi,Nicolás,19,defender,DF,Nicolás Otamendi,nicolas otamendi,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Nicol├ís Otamendi,True
13032,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-71343,Mac Allister,Alexis,20,midfielder,MF,Alexis Mac Allister,alexis mac allister,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Alexis Mac Allister,True
13033,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-28151,Dybala,Paulo,21,forward,FW,Paulo Dybala,paulo dybala,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Paulo Dybala,True
13034,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-81505,Martínez,Lautaro,22,forward,FW,Lautaro Martínez,lautaro martinez,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Lautaro Mart├¡nez,True
13035,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-13162,Martínez,Emiliano,23,goal keeper,GK,Emiliano Martínez,emiliano martinez,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Emiliano Mart├¡nez,True
13036,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-10739,Fernández,Enzo,24,midfielder,MF,Enzo Fernández,enzo fernandez,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Enzo Fern├índez,True
13037,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-23070,Martínez,Lisandro,25,defender,DF,Lisandro Martínez,lisandro martinez,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Lisandro Mart├¡nez,True
13038,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-84430,Molina,Nahuel,26,defender,DF,Nahuel Molina,nahuel molina,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Nahuel Molina,True
13039,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-10244,Ryan,Mathew,1,goal keeper,GK,Mathew Ryan,mathew ryan,australia,False,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Mathew Ryan (captain),True
13040,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-59727,Degenek,Miloš,2,defender,DF,Miloš Degenek,milos degenek,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Milo┼í Degenek,True
13041,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-09062,Atkinson,Nathaniel,3,defender,DF,Nathaniel Atkinson,nathaniel atkinson,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Nathaniel Atkinson,True
13042,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-88273,Rowles,Kye,4,defender,DF,Kye Rowles,kye rowles,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Kye Rowles,True
13043,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-24134,Karačić,Fran,5,defender,DF,Fran Karačić,fran karacic,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Fran Kara─ìi─ç,True
13044,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-34915,Tilio,Marco,6,forward,FW,Marco Tilio,marco tilio,australia,True,,,False
13045,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-35837,Leckie,Mathew,7,forward,FW,Mathew Leckie,mathew leckie,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Mathew Leckie,True
