key_id,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link
3,P-03484,Aaronson,Brenden,2000-10-22,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Brenden_Aaronson
21,P-64924,Abdi,Ali,1993-12-20,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Ali_Abdi_(footballer)
24,P-21820,Abdul Samed,Salis,2000-03-26,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Salis_Abdul_Samed
27,P-08125,Abdulhamid,Saud,1999-07-18,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Saud_Abdulhamid
33,P-80505,Abedzadeh,Amir,1993-04-26,0,1,0,0,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Amir_Abedzadeh
46,P-53452,Aboubakar,Vincent,1992-01-22,0,0,0,0,1,3,"2010, 2014, 2022",https://en.wikipedia.org/wiki/Vincent_Aboubakar
47,P-48295,Aboukhlal,Zakaria,2000-02-18,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Zakaria_Aboukhlal
68,P-86410,Acosta,Kellyn,1995-07-24,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Kellyn_Acosta
73,P-73712,Acuña,Marcos,1991-10-28,0,0,1,1,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Marcos_Acu%C3%B1a
82,P-14151,Adams,Tyler,1999-02-14,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Tyler_Adams
89,P-55821,Adekugbe,Sam,1995-01-16,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Sam_Adekugbe
94,P-05901,Adeyemi,Karim,2002-01-18,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Karim_Adeyemi
102,P-32222,Aebischer,Michel,1997-01-06,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Michel_Aebischer
108,P-47319,Afif,Akram,1996-11-18,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Akram_Afif
112,P-13639,Afriyie,Daniel,2001-06-26,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Daniel_Afriyie
125,P-47490,Aguerd,Nayef,1996-03-30,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Nayef_Aguerd
133,P-44957,Aguilera,Brandon,2003-06-28,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Brandon_Aguilera
148,P-33804,Ahmed,Homam,1999-08-25,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Homam_Ahmed
