player_id,full_name,team,folder,ok
P-39788,Franco Armani,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Franco Armani,True
P-00652,Juan Foyth,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Juan Foyth,True
P-35173,Nicolás Tagliafico,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Nicol├ís Tagliafico,True
P-91431,Gonzalo Montiel,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Gonzalo Montiel,True
P-27582,Leandro Paredes,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Leandro Paredes,True
P-29298,Germán Pezzella,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Germ├ín Pezzella,True
P-37314,Rodrigo De Paul,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Rodrigo De Paul,True
P-73712,Marcos Acuña,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Marcos Acu├▒a,True
P-19776,Julián Álvarez,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Juli├ín ├ülvarez,True
P-14758,Lionel Messi,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Lionel Messi (captain),True
P-42113,Ángel Di María,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_├üngel Di Mar├¡a,True
P-36188,Gerónimo Rulli,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Ger├│nimo Rulli,True
P-79650,Cristian Romero,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Cristian Romero,True
P-40147,Exequiel Palacios,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Exequiel Palacios,True
P-92353,Ángel Correa,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_├üngel Correa,True
P-56659,Thiago Almada,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Thiago Almada,True
P-10231,Papu Gómez,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Papu G├│mez,True
P-03265,Guido Rodríguez,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Guido Rodr├¡guez,True
